,position,homeAway,tries,tryassists,points,kicks,passes,runs,metres,cleanbreaks,defendersbeaten,offload,lineoutwonsteal,turnoversconceded,tackles,missedtackles,lineoutswon,penaltiesconceded,yellowcards,redcards,penalties,penaltygoals,conversiongoals,dropgoalsconverted,finalScore
0,1,1,0,0,0,0,0,9,100,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0
1,9,1,0,0,0,0,3,13,86,2,3,0,0,1,5,2,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,1,12,77,0,2,1,0,1,5,1,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,12,68,1,2,0,0,2,5,0,0,1,0,0,0,0,0,0,0
4,9,1,1,0,5,0,1,2,33,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0
5,2,1,0,1,0,0,18,5,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
6,8,1,1,1,15,0,106,7,11,0,1,0,0,1,4,4,0,0,0,0,2,2,2,0,0
7,7,1,0,0,0,0,1,9,6,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0
8,4,1,0,0,0,0,6,8,8,0,0,1,0,0,8,0,6,0,0,0,0,0,0,0,0
9,7,1,0,0,0,0,1,6,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
10,5,1,2,0,10,0,0,13,11,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
11,5,1,0,0,0,0,3,11,10,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0
12,3,1,0,0,0,0,1,9,25,1,1,0,0,0,17,1,0,0,0,0,0,0,0,0,0
13,3,1,0,0,0,0,4,10,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
14,6,1,0,0,0,0,5,15,15,0,2,2,0,0,10,2,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,1,3,6,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
16,9,0,1,0,5,0,1,4,3,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0
17,0,0,1,0,5,0,1,2,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,7,15,20,1,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0
19,9,0,0,0,0,0,1,5,17,1,0,1,0,3,8,2,0,0,0,0,0,0,0,0,0
20,2,0,0,0,5,0,8,6,0,0,1,0,0,0,8,3,0,0,0,0,1,1,1,0,0
21,8,0,0,1,0,0,57,5,93,2,2,3,0,5,4,3,0,0,0,0,0,0,0,0,0
22,7,0,0,0,0,0,1,2,1,0,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0
23,4,0,0,0,0,0,2,6,20,0,1,0,0,0,12,0,6,2,0,0,0,0,0,0,0
24,7,0,0,0,0,0,1,4,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
25,5,0,0,0,0,0,1,10,7,0,2,0,0,0,21,2,0,0,0,0,0,0,0,0,0
